Key,Id,English(en),Japanese (Japan)(ja-JP),Korean (South Korea)(ko-KR)
Tutorial1,25789886464,Now I need to get up and do my job...,これから起きてやるべきことをしなければならない..,이제 일어나서 할 일을 해야겠어..
Tutorial2,5.29761E+13,Let's check the preparation list written down yesterday first.,これから起きてやるべきことをしなければならない..,어제 적어놓은 준비 목록을 먼저 확인해보자. 
Intro1,5.4869E+13,Whoa... we're here.,わぁ··· 到着しました。,후....도착했다.
Intro2,6.55289E+13,"First of all, the hammer is heavy, so..Should I bring something else?",まず、ハンマーは重いから..他のものだけ持って行ってみようか？,우선 망치는 무거우니까..다른 것만 챙겨서 가볼까?
Intro3,,Let's go in,もう一度入ってみよう,이제 한 번 들어가보자
Intro4,,"Oh, this door is locked so tightly.. I'm going to bring a hammer.",はぁ…こんなドアがしっかり閉まってるね.. ハンマーを持ってこよう。,하..이런 문이 너무 단단히 잠겨있네.. 망치를 가져와야겠다.
Intro5,,What are you talking about... Why does the door open?,何言ってるんだ··· なんでドアが開くの？,무슨 소리지.... 문이 왜 문이 열리는거야?
Intro6,,Ugh! What..What's going on all of a sudden,うわっ！ム..何だよ、急に,으악! 무..뭐야 갑자기
Intro7,,"Whoo... just in case, let's carefully open the front door of the mansion...You can open it carefully with \n <color=#88800> mouse wheel</color>.",ふぅ…念のため屋敷の玄関のドアを慎重に開けよう···\n <color=#888800>マウスホイール</color>を使えば慎重に開けるよ。,후..혹시 모르니까 저택의 현관문을 조심스럽게 열자...\n <color=#888800>마우스휠</color>을 사용하면 조심스럽게 열 수 있을거야.
Intro8,,"Oh, no. I have to go back out…",あ、ダメだ。また出かけないと···,아....안되겠어 다시 나가야겠어...
